name,format,size,mtime,source
11# Alan Dershowits assorted documents - dersh letter to dectective_hocr_pageindex.json.gz,OCR Page Index,75,1615242460,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_hocr_searchtext.txt.gz,OCR Search Text,3111,1615242227,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_jp2.zip,Single Page Processed JP2 ZIP,371857,1607417554,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_lcp.epub,LCP Encrypted EPUB,12068,1753690802,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_page_numbers.json,Page Numbers JSON,652,1753696709,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_scandata.xml,Scandata,1213,1753696710,derivative
11# Alan Dershowits assorted documents - dersh letter to dectective_text.pdf,Additional Text PDF,176196,1753697378,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019.epub,EPUB,19715,1753677601,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019.pdf,Image Container PDF,505273,1607348311,original
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_chocr.html.gz,chOCR,239998,1607470953,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_djvu.txt,DjVuTXT,16953,1753694667,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_djvu.xml,Djvu XML,223959,1753673990,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_hocr.html,hOCR,418674,1615239398,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_hocr_pageindex.json.gz,OCR Page Index,186,1615243229,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_hocr_searchtext.txt.gz,OCR Search Text,4843,1615243502,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_jp2.zip,Single Page Processed JP2 ZIP,1223779,1607417541,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_lcp.epub,LCP Encrypted EPUB,21287,1753689362,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_page_numbers.json,Page Numbers JSON,2486,1753696731,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_scandata.xml,Scandata,4903,1753696731,derivative
12# Epstein deposition's - 13# U-S-v-Jeffrey-Epstein-Indictment 2019_text.pdf,Additional Text PDF,479704,1753697449,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments.epub,EPUB,1320826,1753677833,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments.pdf,Image Container PDF,22315342,1607348417,original
12# Epstein deposition's - Edwards vs Epstein + attachments_chocr.html.gz,chOCR,32814001,1607480515,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_djvu.txt,DjVuTXT,2537007,1753694746,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_djvu.xml,Djvu XML,35632754,1753674037,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_hocr.html,hOCR,72424061,1615239260,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_hocr_pageindex.json.gz,OCR Page Index,10518,1615248829,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_hocr_searchtext.txt.gz,OCR Search Text,646409,1615248039,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_jp2.zip,Single Page Processed JP2 ZIP,228976225,1607417457,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_lcp.epub,LCP Encrypted EPUB,1361177,1753689891,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_page_numbers.json,Page Numbers JSON,142141,1753696792,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_scandata.xml,Scandata,278375,1753696793,derivative
12# Epstein deposition's - Edwards vs Epstein + attachments_text.pdf,Additional Text PDF,33361758,1753698672,derivative
13# Epstein phone messages (Trump included) - 12.jpg,JPEG,310463,1607871266,original
13# Epstein phone messages (Trump included) - 12_thumb.jpg,JPEG Thumb,5739,1607871596,derivative
13# Epstein phone messages (Trump included) - 14.jpg,JPEG,35803,1607871270,original
13# Epstein phone messages (Trump included) - 14_thumb.jpg,JPEG Thumb,8780,1607871599,derivative
13# Epstein phone messages (Trump included) - 15.jpg,JPEG,104811,1607871273,original
13# Epstein phone messages (Trump included) - 15_thumb.jpg,JPEG Thumb,5356,1607871617,derivative
13# Epstein phone messages (Trump included) - 5.jpg,JPEG,92341,1607871293,original
13# Epstein phone messages (Trump included) - 515 pm.jpg,JPEG,84388,1607871277,original
13# Epstein phone messages (Trump included) - 515 pm_thumb.jpg,JPEG Thumb,4694,1607871602,derivative
13# Epstein phone messages (Trump included) - 5_thumb.jpg,JPEG Thumb,5080,1607871593,derivative
13# Epstein phone messages (Trump included) - 7.jpg,JPEG,272511,1607871297,original
13# Epstein phone messages (Trump included) - 7_thumb.jpg,JPEG Thumb,5595,1607871605,derivative
13# Epstein phone messages (Trump included) - 8.jpg,JPEG,38653,1607871303,original
13# Epstein phone messages (Trump included) - 8_thumb.jpg,JPEG Thumb,8095,1607871620,derivative
13# Epstein phone messages (Trump included) - 9-1-05 808 pm 2-28-05 1230 pm.jpg,JPEG,151124,1607871306,original
13# Epstein phone messages (Trump included) - 9-1-05 808 pm 2-28-05 1230 pm_thumb.jpg,JPEG Thumb,6523,1607871608,derivative
13# Epstein phone messages (Trump included) - Fergie 1-25-05.jpg,JPEG,72724,1607871280,original
13# Epstein phone messages (Trump included) - Fergie 1-25-05_thumb.jpg,JPEG Thumb,7248,1607871611,derivative
13# Epstein phone messages (Trump included) - Jean 514 pm.jpg,JPEG,96839,1607871284,original
13# Epstein phone messages (Trump included) - Jean 514 pm_thumb.jpg,JPEG Thumb,5100,1607871614,derivative
13# Epstein phone messages (Trump included) - Mr. JF 1104 pm.jpg,JPEG,48654,1607871289,original
13# Epstein phone messages (Trump included) - Mr. JF 1104 pm_thumb.jpg,JPEG Thumb,5136,1607871590,derivative
13# Epstein phone messages (Trump included) - darion.jpg,JPEG,131039,1607348438,original
13# Epstein phone messages (Trump included) - darion_thumb.jpg,JPEG Thumb,4461,1607393935,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest.epub",EPUB,25123,1753678587,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest.pdf",Text PDF,158780,1607348504,original
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_chocr.html.gz",chOCR,411030,1607480714,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_djvu.txt",DjVuTXT,32143,1753693676,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_djvu.xml",Djvu XML,391722,1753674046,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_hocr.html",hOCR,701576,1615239476,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_hocr_pageindex.json.gz",OCR Page Index,151,1615245337,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_hocr_searchtext.txt.gz",OCR Search Text,10980,1615246121,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_jp2.zip",Single Page Processed JP2 ZIP,7411327,1607400955,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_lcp.epub",LCP Encrypted EPUB,26430,1753690510,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_page_numbers.json",Page Numbers JSON,1828,1753696827,derivative
"14# Epstein Bail memo - U S v Jeffrey Epstein, Bail Memo 2019 Arrest_scandata.xml",Scandata,3453,1753696827,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep.epub,EPUB,2181959,1753678824,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep.pdf,Text PDF,70224087,1607347236,original
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_chocr.html.gz,chOCR,42129049,1607448564,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_djvu.txt,DjVuTXT,3117387,1753693848,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_djvu.xml,Djvu XML,43505259,1753674089,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_hocr.html,hOCR,86169055,1615240278,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_hocr_pageindex.json.gz,OCR Page Index,21816,1615243029,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_hocr_searchtext.txt.gz,OCR Search Text,950548,1615243444,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_jp2.zip,Single Page Processed JP2 ZIP,837622956,1607412624,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_lcp.epub,LCP Encrypted EPUB,2276940,1753688845,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_page_numbers.json,Page Numbers JSON,301402,1753696634,derivative
2# Ghislaine Indictment & Deposition - 2015 09 21 - ghislaine dep_scandata.xml,Scandata,624761,1753696634,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed.epub,EPUB,36658,1753679027,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed.pdf,Text PDF,260538,1607346346,original
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_chocr.html.gz,chOCR,523990,1607449715,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_djvu.txt,DjVuTXT,39764,1753694690,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_djvu.xml,Djvu XML,494105,1753674066,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_hocr.html,hOCR,892240,1615241421,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_hocr_pageindex.json.gz,OCR Page Index,294,1615242542,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_hocr_searchtext.txt.gz,OCR Search Text,13806,1615243588,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_jp2.zip,Single Page Processed JP2 ZIP,9303482,1607401939,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_lcp.epub,LCP Encrypted EPUB,38953,1753685315,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_page_numbers.json,Page Numbers JSON,4294,1753696931,derivative
2# Ghislaine Indictment & Deposition - 2019 07 03 - 416045095-Jeffrey-Epstein-Records-Unsealed_scandata.xml,Scandata,8829,1753696931,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment.epub,EPUB,22839,1753679203,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment.pdf,Text PDF,6507738,1607346396,original
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_chocr.html.gz,chOCR,265425,1607449401,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_djvu.txt,DjVuTXT,20100,1753693863,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_djvu.xml,Djvu XML,258683,1753673961,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_hocr.html,hOCR,485129,1615239027,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_hocr_pageindex.json.gz,OCR Page Index,228,1615244280,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_hocr_searchtext.txt.gz,OCR Search Text,5199,1615244843,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_jp2.zip,Single Page Processed JP2 ZIP,1576077,1607401795,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_lcp.epub,LCP Encrypted EPUB,24653,1753688304,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_page_numbers.json,Page Numbers JSON,3179,1753697031,derivative
2# Ghislaine Indictment & Deposition - 2020 07 02 - Ghislaine Indictment_scandata.xml,Scandata,6184,1753697031,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned.epub,EPUB,44203,1753676915,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned.pdf,Text PDF,1737752,1607346416,original
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_chocr.html.gz,chOCR,802517,1607449252,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_djvu.txt,DjVuTXT,60972,1753693841,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_djvu.xml,Djvu XML,901008,1753673900,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_hocr.html,hOCR,1641184,1615239609,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_hocr_pageindex.json.gz,OCR Page Index,303,1615243887,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_hocr_searchtext.txt.gz,OCR Search Text,20267,1615244018,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_jp2.zip,Single Page Processed JP2 ZIP,12591251,1607401707,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_lcp.epub,LCP Encrypted EPUB,46194,1753682039,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_page_numbers.json,Page Numbers JSON,4195,1753697056,derivative
2# Ghislaine Indictment & Deposition - 2020 07 30 - bill clinton mentioned_scandata.xml,Scandata,8807,1753697057,derivative
2# Ghislaine Indictment & Deposition - Prince Andrew Email.jpg,JPEG,14536,1607345263,original
2# Ghislaine Indictment & Deposition - Prince Andrew Email_thumb.jpg,JPEG Thumb,2929,1607345871,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File.epub,EPUB,16885,1753679448,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File.pdf,Image Container PDF,1525644,1607347289,original
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_chocr.html.gz,chOCR,207848,1607470507,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_djvu.txt,DjVuTXT,14640,1753693671,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_djvu.xml,Djvu XML,193552,1753673954,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_hocr.html,hOCR,365873,1615239663,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_hocr_pageindex.json.gz,OCR Page Index,124,1615244136,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_hocr_searchtext.txt.gz,OCR Search Text,5625,1615244192,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_jp2.zip,Single Page Processed JP2 ZIP,4729939,1607413716,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_lcp.epub,LCP Encrypted EPUB,18099,1753682337,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_page_numbers.json,Page Numbers JSON,1492,1753697086,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_scandata.xml,Scandata,2807,1753697086,derivative
4# Les Wexner assorted documents - 1991 06 06 - 00# Les Wexner Mob Ties Shapiro Murder File_text.pdf,Additional Text PDF,1280952,1753698952,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review.epub,EPUB,31001,1753680090,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review.pdf,Text PDF,252351,1607347318,original
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_chocr.html.gz,chOCR,488537,1607448836,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_djvu.txt,DjVuTXT,37780,1753693662,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_djvu.xml,Djvu XML,446601,1753673522,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_hocr.html,hOCR,799960,1615239718,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_hocr_pageindex.json.gz,OCR Page Index,259,1615244433,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_hocr_searchtext.txt.gz,OCR Search Text,11887,1615244609,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_jp2.zip,Single Page Processed JP2 ZIP,8972303,1607401556,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_lcp.epub,LCP Encrypted EPUB,33004,1753682614,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_page_numbers.json,Page Numbers JSON,3658,1753697110,derivative
4# Les Wexner assorted documents - 2020 02 24 - 448792139-Wexner-Foundation-Report-Following-Independent-Review_scandata.xml,Scandata,7279,1753697110,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz.epub,EPUB,13729,1753680222,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz.pdf,Text PDF,301128,1607347252,original
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_chocr.html.gz,chOCR,140299,1607428243,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_djvu.txt,DjVuTXT,10445,1753693645,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_djvu.xml,Djvu XML,133243,1753673530,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_hocr.html,hOCR,239420,1615239788,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_hocr_pageindex.json.gz,OCR Page Index,94,1615244677,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_hocr_searchtext.txt.gz,OCR Search Text,4225,1615244803,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_jp2.zip,Single Page Processed JP2 ZIP,5930853,1607424736,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_lcp.epub,LCP Encrypted EPUB,14765,1753683068,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_page_numbers.json,Page Numbers JSON,979,1753697140,derivative
4# Les Wexner assorted documents - 2020 07 20 - 472133212-Wexner-Letter-to-Dershowitz_scandata.xml,Scandata,1924,1753697140,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska.epub,EPUB,13424,1753680384,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska.pdf,Text PDF,314287,1607347263,original
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_chocr.html.gz,chOCR,138577,1607449821,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_djvu.txt,DjVuTXT,10653,1753693628,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_djvu.xml,Djvu XML,128429,1753673536,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_hocr.html,hOCR,231341,1615239859,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_hocr_pageindex.json.gz,OCR Page Index,87,1615245672,derivative
4# Les Wexner assorted documents - 2020 07 28 - 472133211-Wexner-Letter-to-Judge-Preska_hocr_searchtext.txt.gz,OCR Search Text,4447,1615245958,derivative
